,0
0,2
1,2
2,2
3,2
4,58
5,3
6,3
7,3
8,2
9,2
10,58
11,58
12,58
13,58
14,58
15,58
16,58
17,58
18,58
19,58
20,58
21,58
22,58
23,58
24,58
25,58
26,58
27,58
28,58
29,58
30,58
31,58
32,58
33,58
34,58
35,58
36,58
37,58
38,58
39,58
40,58
41,58
42,58
43,58
44,58
45,58
46,5
47,4
48,4
49,4
50,4
51,58
52,58
53,58
54,58
55,58
56,58
57,58
58,58
59,58
60,58
61,58
62,2
63,2
64,5
65,5
66,5
67,5
68,3
69,3
70,3
71,58
72,58
73,58
74,58
75,58
76,58
77,58
78,58
79,58
80,58
