,0
0,4
1,4
2,4
3,4
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,2
13,2
14,9
15,9
16,9
17,9
18,3
19,4
20,4
21,4
22,9
23,9
24,9
25,9
26,2
27,2
28,4
29,3
30,9
31,4
32,4
33,4
34,4
35,3
36,3
37,3
38,3
39,2
40,2
41,3
