,0
0,2
1,2
2,6
3,6
4,6
5,6
6,2
7,2
8,7
9,7
10,7
11,3
12,3
13,6
14,6
15,8
16,8
17,8
18,7
19,7
20,3
21,4
22,4
23,8
24,8
25,8
26,7
27,4
28,4
29,8
30,8
31,4
32,4
33,4
34,7
35,3
36,3
37,3
38,2
39,2
40,2
41,2
42,4
