,t,id,age,parent_ring,theta1,theta2
0,0,0,9,0,1.0,2.5707963267948966
1,0,1,10,0,2.5707963267948966,4.141592653589793
2,0,2,0,0,4.141592653589793,5.71238898038469
3,0,3,10,0,5.71238898038469,7.283185307179586
4,0,0,0,1,0.5,1.2853981633974483
5,0,1,10,1,1.2853981633974483,2.0707963267948966
6,0,2,0,1,2.0707963267948966,2.856194490192345
7,0,3,0,1,2.856194490192345,3.641592653589793
8,0,4,10,1,3.641592653589793,4.426990816987241
9,0,5,10,1,4.426990816987241,5.21238898038469
10,0,6,9,1,5.21238898038469,5.997787143782138
11,0,7,9,1,5.997787143782138,6.783185307179586
12,0,0,0,2,0.3333333333333333,0.8569321089316322
13,0,1,0,2,0.8569321089316322,1.380530884529931
14,0,2,0,2,1.380530884529931,1.9041296601282298
15,0,3,0,2,1.9041296601282298,2.4277284357265287
16,0,4,10,2,2.4277284357265287,2.9513272113248274
17,0,5,10,2,2.9513272113248274,3.474925986923126
18,0,6,10,2,3.4749259869231266,3.9985247625214253
19,0,7,10,2,3.9985247625214253,4.522123538119724
20,0,8,0,2,4.522123538119724,5.045722313718023
21,0,9,10,2,5.045722313718023,5.569321089316322
22,0,10,10,2,5.569321089316321,6.09291986491462
23,0,11,0,2,6.09291986491462,6.616518640512919
24,0,0,10,3,0.25,0.6426990816987241
25,0,1,0,3,0.6426990816987241,1.0353981633974483
26,0,2,0,3,1.0353981633974483,1.4280972450961724
27,0,3,0,3,1.4280972450961724,1.8207963267948966
28,0,4,0,3,1.8207963267948966,2.2134954084936207
29,0,5,0,3,2.2134954084936207,2.606194490192345
30,0,6,9,3,2.606194490192345,2.998893571891069
31,0,7,10,3,2.998893571891069,3.391592653589793
32,0,8,10,3,3.391592653589793,3.7842917352885173
33,0,9,9,3,3.7842917352885173,4.176990816987241
34,0,10,10,3,4.176990816987241,4.569689898685965
35,0,11,0,3,4.569689898685965,4.96238898038469
36,0,12,10,3,4.96238898038469,5.355088062083414
37,0,13,9,3,5.355088062083414,5.747787143782139
38,0,14,10,3,5.747787143782138,6.140486225480862
39,0,15,0,3,6.140486225480862,6.533185307179586
40,0,0,0,4,0.2,0.5141592653589793
41,0,1,0,4,0.5141592653589793,0.8283185307179586
42,0,2,0,4,0.8283185307179586,1.142477796076938
43,0,3,0,4,1.142477796076938,1.4566370614359172
44,0,4,10,4,1.4566370614359172,1.7707963267948965
45,0,5,10,4,1.7707963267948965,2.084955592153876
46,0,6,0,4,2.084955592153876,2.3991148575128554
47,0,7,10,4,2.3991148575128554,2.7132741228718347
48,0,8,10,4,2.7132741228718347,3.027433388230814
49,0,9,0,4,3.027433388230814,3.3415926535897933
50,0,10,0,4,3.3415926535897933,3.6557519189487726
51,0,11,10,4,3.6557519189487726,3.969911184307752
52,0,12,0,4,3.969911184307752,4.284070449666731
53,0,13,0,4,4.284070449666731,4.5982297150257105
54,0,14,0,4,4.5982297150257105,4.91238898038469
55,0,15,0,4,4.91238898038469,5.226548245743669
56,0,16,9,4,5.226548245743669,5.5407075111026485
57,0,17,10,4,5.5407075111026485,5.854866776461628
58,0,18,10,4,5.854866776461628,6.169026041820607
59,0,19,10,4,6.169026041820607,6.483185307179586
60,0,0,0,5,0.16666666666666666,0.4284660544658161
61,0,1,0,5,0.4284660544658161,0.6902654422649654
62,0,2,0,5,0.6902654422649654,0.9520648300641149
63,0,3,0,5,0.9520648300641149,1.2138642178632644
64,0,4,10,5,1.2138642178632644,1.4756636056624137
65,0,5,9,5,1.4756636056624137,1.737462993461563
