,Pst,Rate
0,0.1,2.0
1,0.11,1.2910447761194028
2,0.12,1.2462686567164187
3,0.13,18.0
4,0.13999999999999999,5.0
5,0.14999999999999997,6.205223880597014
6,0.15999999999999998,7.452830188679247
7,0.16999999999999998,9.018656716417912
8,0.17999999999999997,14.601307189542485
9,0.18999999999999995,16.072
10,0.19999999999999996,21.227272727272727
11,0.20999999999999996,21.49738219895288
12,0.21999999999999995,28.0
13,0.22999999999999995,40.77777777777778
14,0.23999999999999994,55.88059701492537
15,0.24999999999999992,62.0728476821192
16,0.2599999999999999,81.62452107279694
17,0.2699999999999999,119.56666666666666
18,0.2799999999999999,150.015503875969
19,0.2899999999999999,193.29317269076304
20,0.29999999999999993,271.95348837209303
21,0.30999999999999994,332.51340996168585
22,0.3199999999999999,416.34901960784316
23,0.32999999999999985,536.9141414141415
24,0.33999999999999986,610.0060606060606
25,0.34999999999999987,684.8447488584475
26,0.3599999999999999,752.547619047619
27,0.3699999999999999,797.7572016460905
28,0.3799999999999999,867.0044444444444
29,0.3899999999999999,917.4649122807018
30,0.3999999999999998,955.8931623931624
